"id","school_year","district_name","enrollment_grades_k_12","total_susp","iss_b","oss_b","iss_w","oss_w","h","a","m","p","i","b_disp","w_disp","h_disp","a_disp","m_disp","p_disp","i_disp"
"162",2008,"PARKWAY C-2",18031,1960,631,502,542,279,,6,,,,3.45730397422127,0.598225579863479,,0.0281104177208073,,,
"163",2008,"AFFTON 101",2517,1141,167,15,764,178,17,,,,,1.67200421859526,0.969687087535568,0.706123754418466,,,,
"164",2008,"HANCOCK PLACE",1803,935,245,24,566,88,12,,,,,1.10824551139969,0.993840921627893,0.420794249145262,,,,
"165",2008,"JENNINGS",3325,3359,1941,1418,,,,,,,,1.01276078590237,,,,,,
"166",2008,"RITENOUR",6358,244,25,186,,33,,,,,,2.30601092896175,0.279087704579745,,,,,
"167",2008,"WEBSTER GROVES",4127,632,319,130,161,22,,,,,,2.99512241979209,0.398071160331752,,,,,
"168",2008,"WELLSTON",577,989,691,298,,,,,,,,1,,,,,,
"169",2008,"SPECL. SCH. DST. ST. LOUIS CO.",3263,2708,1441,731,320,216,,,,,,2.11739162308401,0.3285179305822,,,,,
"170",2008,"MARSHALL",2466,712,61,,535,42,74,,,,,0.910458632341879,1.10107779677577,0.688751386810225,,,,
"171",2008,"SLATER",371,64,15,,43,6,,,,,,2.80352870813397,0.845340620514519,,,,,
"172",2008,"SWEET SPRINGS R-VII",439,75,,,75,,,,,,,,1.0354110581901,,,,,
"173",2008,"SIKESTON R-6",3629,2626,1323,294,924,85,,,,,,1.71379188059036,0.62721935570337,,,,,
"174",2008,"ORAN R-III",376,18,,,18,,,,,,,,1.02448519618892,,,,,
"175",2008,"EMINENCE R-I",290,28,,,28,,,,,,,,1.00694794079146,,,,,
"176",2008,"RICHLAND R-I",316,19,,,19,,,,,,,,1.07480653482373,,,,,
"177",2008,"BELL CITY R-II",265,8,,,8,,,,,,,,1.08166576527853,,,,,
"178",2008,"BLOOMFIELD R-XIV",754,60,,,60,,,,,,,,1.00664384940608,,,,,
"179",2008,"DEXTER R-XI",2000,157,,,99,58,,,,,,,1.01988781234064,,,,,
"180",2008,"HURLEY R-I",265,8,,,8,,,,,,,,1,,,,,
"181",2008,"REEDS SPRING R-IV",2116,609,,,500,90,19,,,,,,1.01732785217778,1.2945513017054,,,,
"182",2008,"GREEN CITY R-I",304,20,,,20,,,,,,,,1.08189981607703,,,,,
"183",2008,"TANEYVILLE R-II",230,7,,,7,,,,,,,,1.03605470368835,,,,,
"184",2008,"LICKING R-VIII",842,112,,,105,7,,,,,,,1.01812258195887,,,,,
"185",2008,"NEVADA R-V",2497,416,8,,379,29,,,,,,1.6025641025641,1.01993472417765,,,,,
"186",2008,"SHELDON R-VIII",185,6,,,6,,,,,,,,1.03928497193931,,,,,
"188",2008,"WARREN CO. R-III",3030,1772,52,7,1314,386,7,6,,,,0.892646409140699,1.04677353608721,0.12230150465794,0.463836234886669,,,
"189",2008,"POTOSI R-III",2378,505,,,417,88,,,,,,,1.03616205574552,,,,,
"190",2008,"RICHWOODS R-VII",175,45,,,45,,,,,,,,1,,,,,
"191",2008,"VALLEY R-VI",474,261,,,230,31,,,,,,,1.01061141990905,,,,,
"192",2008,"GREENVILLE R-II",742,214,,,214,,,,,,,,1.00948919846558,,,,,
"193",2008,"FORDLAND R-III",620,102,,,102,,,,,,,,1.02480016396803,,,,,
"194",2008,"MARSHFIELD R-I",3132,733,,,610,123,,,,,,,1.0391769718383,,,,,
"195",2008,"HARTVILLE R-II",704,327,,,296,24,7,,,,,,1.01010866243936,1.37222614286834,,,,
"196",2008,"MOUNTAIN GROVE R-III",1477,745,,,663,82,,,,,,,1.02997219075085,,,,,
"197",2008,"ST. LOUIS CITY",27574,21808,8354,11735,863,602,230,24,,,,1.1316654979531,0.494677339361216,0.40720418563412,0.0507149111981905,,,
"198",2008,"ST. LOUIS CHARTER SCHOOL",910,342,8,293,7,34,,,,,,1.71864276325782,0.303886035324899,,,,,
"199",2008,"PAIDEIA ACADEMY",418,58,7,51,,,,,,,,1.3933398355859,,,,,,
"200",2008,"CONFLUENCE ACADEMIES",2219,1321,166,1155,,,,,,,,1.08038029386344,,,,,,
"201",2008,"IMAGINE ACADEMY OF CAREERS",668,1158,594,554,10,,,,,,,1.03471915396747,0.442850183782826,,,,,
"202",2008,"THE CAN!  ACADEMIES-ST. LOUIS",288,130,46,61,,,,,,,,1.00694794079146,,,,,,
"203",2009,"KIRKSVILLE R-III",2431,702,,,527,175,,,,,,,1.0771219302025,,,,,
"204",2009,"ADAIR CO. R-II",257,29,,,29,,,,,,,,1.01584721657863,,,,,
"205",2009,"NORTH ANDREW CO. R-VI",368,114,,,107,,7,,,,,,0.946356615474965,,,,,
"206",2009,"SAVANNAH R-III",2356,227,,,161,66,,,,,,,1.04058272632674,,,,,
"207",2009,"TARKIO R-I",349,79,,,79,,,,,,,,1.04799832320268,,,,,
"208",2009,"ROCK PORT R-II",384,27,,,27,,,,,,,,1.01317122593718,,,,,
"209",2009,"VAN-FAR R-I",621,53,,,53,,,,,,,,1.10497237569061,,,,,
"210",2009,"MEXICO 59",2397,969,192,,694,71,12,,,,,1.77865722496123,0.936838357909726,0.319172704350324,,,,
"211",2009,"WHEATON R-III",458,15,,,8,,7,,,,,,0.737973340713067,5.21415270018622,,,,
"212",2009,"SOUTHWEST R-V",853,592,,,541,34,7,,,,10,,1.03306082087192,0.335918304668305,,,,1.19800651715545
"213",2009,"CASSVILLE R-IV",1890,825,,,644,135,46,,,,,,1.0363762750987,0.878072059174421,,,,
"214",2009,"SHELL KNOB 78",154,7,,,7,,,,,,,,1.04058272632674,,,,,
"215",2009,"MONETT R-I",2129,758,,,559,23,176,,,,,,1.0726599977441,0.884196396095871,,,,
"216",2009,"LIBERAL R-II",513,76,,,18,58,,,,,,,1.05552037154317,,,,,
"217",2009,"GOLDEN CITY R-III",251,14,,,14,,,,,,,,1.08189981607703,,,,,
